,Alert,Coordinates,CDI,Code,Detail,Depth,Magnitude,Waveform,ID,Felt,Gap,MMI,Net,NST,RMS,Place,Sig,Sources,Status,Time,Title,Tsunami,Type,TZ,Updated,URL
3950,,"[-116.79, 33.495, 6.67]",,38198047,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38198047&format=geojson,0.08287,0.4,ml,",ci38198047,",,107.0,,ci,14.0,0.13,"9km NE of Aguanga, CA",2,",ci,",reviewed,1547959443180,"M 0.4 - 9km NE of Aguanga, CA",0,earthquake,-480.0,1548170447731,https://earthquake.usgs.gov/earthquakes/eventpage/ci38198047
3951,,"[-153.0501667, 60.046, 1.84]",,70819964,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av70819964&format=geojson,0.01317,-0.44,ml,",av70819964,",,181.0,,av,4.0,0.07,"51km SSW of Redoubt Volcano, Alaska",0,",av,",reviewed,1547958914770,"M -0.4 - 51km SSW of Redoubt Volcano, Alaska",0,earthquake,-540.0,1557976606190,https://earthquake.usgs.gov/earthquakes/eventpage/av70819964
3952,,"[-149.8476, 63.3031, 97.3]",,019x5c79h,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019x5c79h&format=geojson,,1.8,ml,",ak019x5c79h,",,,,ak,,0.45,"45km WSW of Cantwell, Alaska",50,",ak,",reviewed,1547958909748,"M 1.8 - 45km WSW of Cantwell, Alaska",0,earthquake,-540.0,1548647336781,https://earthquake.usgs.gov/earthquakes/eventpage/ak019x5c79h
3953,,"[-138.6486, 59.7383, 1.1]",,019x5c0x6,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019x5c0x6&format=geojson,,2.0,ml,",ak019x5c0x6,",,,,ak,,0.62,"64km ENE of Yakutat, Alaska",62,",ak,",reviewed,1547958869624,"M 2.0 - 64km ENE of Yakutat, Alaska",0,earthquake,-540.0,1548647336070,https://earthquake.usgs.gov/earthquakes/eventpage/ak019x5c0x6
3954,,"[-150.0943, 61.3956, 36.7]",,019x5a3vu,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019x5a3vu&format=geojson,,1.0,ml,",ak019x5a3vu,",,,,ak,,0.45,"15km SSW of Big Lake, Alaska",15,",ak,",reviewed,1547958335533,"M 1.0 - 15km SSW of Big Lake, Alaska",0,earthquake,-540.0,1548647335418,https://earthquake.usgs.gov/earthquakes/eventpage/ak019x5a3vu
3955,,"[-112.528, 41.8353333, 11.23]",,60310077,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60310077&format=geojson,0.1731,0.57,md,",uu60310077,",,107.0,,uu,8.0,0.11,"32km WNW of Garland, Utah",5,",uu,",reviewed,1547958268380,"M 0.6 - 32km WNW of Garland, Utah",0,earthquake,-420.0,1548180589470,https://earthquake.usgs.gov/earthquakes/eventpage/uu60310077
3956,,"[-152.8519, 59.5827, 77.6]",,019x59iav,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019x59iav&format=geojson,,1.6,ml,",ak019x59iav,",,,,ak,,0.38,"61km WSW of Anchor Point, Alaska",39,",ak,",reviewed,1547958174622,"M 1.6 - 61km WSW of Anchor Point, Alaska",0,earthquake,-540.0,1548647334665,https://earthquake.usgs.gov/earthquakes/eventpage/ak019x59iav
3957,,"[-113.8401667, 47.7488333, 5.5]",,80333529,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80333529&format=geojson,0.163,-0.23,md,",mb80333529,",,250.0,,mb,4.0,0.03,"25km ENE of Polson, Montana",0,",mb,",reviewed,1547957820860,"M -0.2 - 25km ENE of Polson, Montana",0,earthquake,-420.0,1548435996260,https://earthquake.usgs.gov/earthquakes/eventpage/mb80333529
3958,,"[-144.6724, 69.1455, 12.9]",,019x584h7,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019x584h7&format=geojson,,1.8,ml,",ak019x584h7,",,,,ak,,0.43,"117km SSW of Kaktovik, Alaska",50,",ak,",reviewed,1547957769391,"M 1.8 - 117km SSW of Kaktovik, Alaska",0,earthquake,-540.0,1548647381558,https://earthquake.usgs.gov/earthquakes/eventpage/ak019x584h7
3959,,"[-149.6876, 62.9719, 79.7]",,019x57zo9,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019x57zo9&format=geojson,,1.7,ml,",ak019x57zo9,",,,,ak,,0.53,"59km SW of Cantwell, Alaska",44,",ak,",reviewed,1547957746858,"M 1.7 - 59km SW of Cantwell, Alaska",0,earthquake,-540.0,1548647333877,https://earthquake.usgs.gov/earthquakes/eventpage/ak019x57zo9
3960,,"[-120.085, 39.2181, 8]",,00675125,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00675125&format=geojson,0.034,0.3,ml,",nn00675125,",,97.85,,nn,7.0,0.0743,"3km SW of Tahoe Vista, California",1,",nn,",reviewed,1547957732011,"M 0.3 - 3km SW of Tahoe Vista, California",0,earthquake,-480.0,1548184725962,https://earthquake.usgs.gov/earthquakes/eventpage/nn00675125
3961,,"[-149.6788, 61.4642, 48]",,019x56py3,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019x56py3&format=geojson,,1.4,ml,",ak019x56py3,",,,,ak,,0.48,"6km SW of Knik-Fairview, Alaska",30,",ak,",reviewed,1547957395003,"M 1.4 - 6km SW of Knik-Fairview, Alaska",0,earthquake,-540.0,1548647333163,https://earthquake.usgs.gov/earthquakes/eventpage/ak019x56py3
3962,,"[-113.8295, 47.7508333, 5.42]",,80333524,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80333524&format=geojson,0.167,-0.51,md,",mb80333524,",,253.0,,mb,4.0,0.03,"25km ENE of Polson, Montana",0,",mb,",reviewed,1547957140120,"M -0.5 - 25km ENE of Polson, Montana",0,earthquake,-420.0,1548435506500,https://earthquake.usgs.gov/earthquakes/eventpage/mb80333524
3963,,"[-151.3737, 63.2209, 12.4]",,019x4v4fi,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019x4v4fi&format=geojson,,0.8,ml,",ak019x4v4fi,",,,,ak,,0.44,"119km NNW of Talkeetna, Alaska",10,",ak,",reviewed,1547956543845,"M 0.8 - 119km NNW of Talkeetna, Alaska",0,earthquake,-540.0,1548647332529,https://earthquake.usgs.gov/earthquakes/eventpage/ak019x4v4fi
3964,,"[-115.5908333, 33.1768333, 6.84]",,38198023,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38198023&format=geojson,0.05628,1.43,ml,",ci38198023,",,70.0,,ci,22.0,0.16,"9km NW of Calipatria, CA",31,",ci,",reviewed,1547956271890,"M 1.4 - 9km NW of Calipatria, CA",0,earthquake,-480.0,1548256086939,https://earthquake.usgs.gov/earthquakes/eventpage/ci38198023
3965,,"[-65.0183, 19.3658, 71]",,2019020002,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2019020002&format=geojson,1.4789,3.01,md,",pr2019020002,us2000j6kn,",,343.0,,pr,6.0,0.23,"119km N of Charlotte Amalie, U.S. Virgin Islands",139,",pr,us,",reviewed,1547955957580,"M 3.0 - 119km N of Charlotte Amalie, U.S. Virgin Islands",0,earthquake,-240.0,1554500457040,https://earthquake.usgs.gov/earthquakes/eventpage/pr2019020002
3966,,"[-116.8421667, 33.9918333, 12.94]",,38198007,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38198007&format=geojson,0.05179,1.04,ml,",ci38198007,",,47.0,,ci,33.0,0.12,"8km NNE of Banning, CA",17,",ci,",reviewed,1547955686100,"M 1.0 - 8km NNE of Banning, CA",0,earthquake,-480.0,1548175173180,https://earthquake.usgs.gov/earthquakes/eventpage/ci38198007
3967,,"[-112.5218333, 41.8448333, 2.21]",,60310072,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60310072&format=geojson,0.1808,0.95,md,",uu60310072,",,108.0,,uu,12.0,0.15,"32km WNW of Garland, Utah",14,",uu,",reviewed,1547955442190,"M 1.0 - 32km WNW of Garland, Utah",0,earthquake,-420.0,1548196054570,https://earthquake.usgs.gov/earthquakes/eventpage/uu60310072
3968,,"[148.7022, -2.7026, 10]",,2000jc0l,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000jc0l&format=geojson,12.446,4.3,mb,",us2000jc0l,",,234.0,,us,,1.17,"176km ESE of Lorengau, Papua New Guinea",284,",us,",reviewed,1547955134420,"M 4.3 - 176km ESE of Lorengau, Papua New Guinea",0,earthquake,600.0,1554500464040,https://earthquake.usgs.gov/earthquakes/eventpage/us2000jc0l
3969,,"[-147.7444, 64.7933, 13.3]",,019x4pwr2,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019x4pwr2&format=geojson,,0.2,ml,",ak019x4pwr2,",,,,ak,,0.38,"5km SSW of Fairbanks, Alaska",1,",ak,",reviewed,1547955073084,"M 0.2 - 5km SSW of Fairbanks, Alaska",0,earthquake,-540.0,1548647331927,https://earthquake.usgs.gov/earthquakes/eventpage/ak019x4pwr2
3970,,"[-149.9718, 61.508, 43.6]",,019x4olr8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019x4olr8&format=geojson,,1.0,ml,",ak019x4olr8,",,,,ak,,0.37,"1km SSW of Big Lake, Alaska",15,",ak,",reviewed,1547954702261,"M 1.0 - 1km SSW of Big Lake, Alaska",0,earthquake,-540.0,1548647331243,https://earthquake.usgs.gov/earthquakes/eventpage/ak019x4olr8
3971,,"[-150.0167, 61.4526, 42.3]",,019x4mqr1,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019x4mqr1&format=geojson,,1.1,ml,",ak019x4mqr1,",,,,ak,,0.53,"8km SSW of Big Lake, Alaska",19,",ak,",reviewed,1547954194166,"M 1.1 - 8km SSW of Big Lake, Alaska",0,earthquake,-540.0,1548647330552,https://earthquake.usgs.gov/earthquakes/eventpage/ak019x4mqr1
3972,,"[-122.759, 38.8151667, 2.03]",,73134316,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73134316&format=geojson,0.01705,0.17,md,",nc73134316,",,97.0,,nc,9.0,0.02,"3km WSW of Cobb, CA",0,",nc,",reviewed,1547954086290,"M 0.2 - 3km WSW of Cobb, CA",0,earthquake,-480.0,1558658885256,https://earthquake.usgs.gov/earthquakes/eventpage/nc73134316
3973,,"[168.805, -19.0293, 35]",,2000jc10,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000jc10&format=geojson,3.749,4.8,mb,",us2000jc10,",,107.0,,us,,0.5,"75km NW of Isangel, Vanuatu",354,",us,",reviewed,1547953981590,"M 4.8 - 75km NW of Isangel, Vanuatu",0,earthquake,660.0,1554500465040,https://earthquake.usgs.gov/earthquakes/eventpage/us2000jc10
3974,,"[-111.5463333, 42.0873333, 4.68]",,60310067,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60310067&format=geojson,0.266,1.22,md,",uu60310067,",,172.0,,uu,14.0,0.15,"19km SW of Paris, Idaho",23,",uu,",reviewed,1547953446060,"M 1.2 - 19km SW of Paris, Idaho",0,earthquake,-420.0,1548195436600,https://earthquake.usgs.gov/earthquakes/eventpage/uu60310067
3975,,"[-116.7576667, 33.503, 9.17]",,38197999,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38197999&format=geojson,0.06452,0.33,ml,",ci38197999,",,94.0,,ci,18.0,0.1,"10km SW of Anza, CA",2,",ci,",reviewed,1547952777050,"M 0.3 - 10km SW of Anza, CA",0,earthquake,-480.0,1548174501461,https://earthquake.usgs.gov/earthquakes/eventpage/ci38197999
3976,,"[95.1522, 30.0401, 10]",,2000j6j5,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000j6j5&format=geojson,3.512,4.6,mb,",us2000j6j5,",,112.0,,us,,0.79,"62km WNW of Zhamog, China",326,",us,",reviewed,1547952723730,"M 4.6 - 62km WNW of Zhamog, China",0,earthquake,480.0,1554500461040,https://earthquake.usgs.gov/earthquakes/eventpage/us2000j6j5
3977,,"[-155.1966667, 58.2445, 2.62]",,61901191,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av61901191&format=geojson,0.006256,-0.09,ml,",av61901191,",,138.0,,av,5.0,0.09,"98km ESE of King Salmon, Alaska",0,",av,",reviewed,1547952419870,"M -0.1 - 98km ESE of King Salmon, Alaska",0,earthquake,-540.0,1557976600890,https://earthquake.usgs.gov/earthquakes/eventpage/av61901191
3978,,"[-150.1442, 62.1932, 8.8]",,019x479kg,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019x479kg&format=geojson,,1.1,ml,",ak019x479kg,",,,,ak,,0.52,"14km S of Talkeetna, Alaska",19,",ak,",reviewed,1547952252643,"M 1.1 - 14km S of Talkeetna, Alaska",0,earthquake,-540.0,1548647380859,https://earthquake.usgs.gov/earthquakes/eventpage/ak019x479kg
3979,,"[-155.2735, 19.4236667, -0.01]",,70776236,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv70776236&format=geojson,0.004003,1.49,ml,",hv70776236,",,115.0,,hv,12.0,0.04,"3km WSW of Volcano, Hawaii",34,",hv,",reviewed,1547952059450,"M 1.5 - 3km WSW of Volcano, Hawaii",0,earthquake,-600.0,1548190319360,https://earthquake.usgs.gov/earthquakes/eventpage/hv70776236
3980,,"[-150.0318, 61.4037, 44.9]",,019x45ye7,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019x45ye7&format=geojson,,1.0,ml,",ak019x45ye7,",,,,ak,,0.41,"13km SSW of Big Lake, Alaska",15,",ak,",reviewed,1547951881358,"M 1.0 - 13km SSW of Big Lake, Alaska",0,earthquake,-540.0,1548647329918,https://earthquake.usgs.gov/earthquakes/eventpage/ak019x45ye7
3981,,"[-65.104, 18.8061, 29]",,2019020001,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2019020001&format=geojson,0.9978,2.99,md,",pr2019020001,",,334.0,,pr,7.0,0.21,"54km NNW of Charlotte Amalie, U.S. Virgin Islands",138,",pr,",reviewed,1547951811090,"M 3.0 - 54km NNW of Charlotte Amalie, U.S. Virgin Islands",0,earthquake,-240.0,1547962043755,https://earthquake.usgs.gov/earthquakes/eventpage/pr2019020001
3982,,"[-115.5961667, 33.1775, 5.48]",,38197991,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38197991&format=geojson,0.05781,1.43,ml,",ci38197991,",,61.0,,ci,30.0,0.2,"10km NW of Calipatria, CA",31,",ci,",reviewed,1547951800300,"M 1.4 - 10km NW of Calipatria, CA",0,earthquake,-480.0,1548194193766,https://earthquake.usgs.gov/earthquakes/eventpage/ci38197991
3983,,"[-71.408, -30.0756, 59.28]",4.1,2000j6iw,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000j6iw&format=geojson,0.214,4.3,mb,",us2000j6iw,",4.0,91.0,,us,,1.14,"14km SSW of Coquimbo, Chile",286,",us,",reviewed,1547951760260,"M 4.3 - 14km SSW of Coquimbo, Chile",0,earthquake,-240.0,1554500461040,https://earthquake.usgs.gov/earthquakes/eventpage/us2000j6iw
3984,,"[-115.5931667, 33.177, 5.87]",,38197983,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38197983&format=geojson,0.05679,1.35,ml,",ci38197983,",,45.0,,ci,26.0,0.15,"9km NW of Calipatria, CA",28,",ci,",reviewed,1547951434440,"M 1.4 - 9km NW of Calipatria, CA",0,earthquake,-480.0,1548193903130,https://earthquake.usgs.gov/earthquakes/eventpage/ci38197983
3985,,"[-115.6005, 33.1816667, 5.92]",,38197967,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38197967&format=geojson,0.06275,1.35,ml,",ci38197967,",,67.0,,ci,21.0,0.17,"10km SW of Niland, CA",28,",ci,",reviewed,1547950823400,"M 1.4 - 10km SW of Niland, CA",0,earthquake,-480.0,1548193204350,https://earthquake.usgs.gov/earthquakes/eventpage/ci38197967
3986,,"[-115.5988333, 33.1788333, 6]",,38197959,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38197959&format=geojson,0.05965,1.64,ml,",ci38197959,",,48.0,,ci,32.0,0.17,"10km NW of Calipatria, CA",41,",ci,",reviewed,1547950633160,"M 1.6 - 10km NW of Calipatria, CA",0,earthquake,-480.0,1548192761563,https://earthquake.usgs.gov/earthquakes/eventpage/ci38197959
3987,,"[-150.0539, 61.4051, 35]",,019x41bs4,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019x41bs4&format=geojson,,2.1,ml,",ak019x41bs4,",,,,ak,,0.51,"14km SSW of Big Lake, Alaska",68,",ak,",reviewed,1547950603001,"M 2.1 - 14km SSW of Big Lake, Alaska",0,earthquake,-540.0,1548647329084,https://earthquake.usgs.gov/earthquakes/eventpage/ak019x41bs4
3988,,"[-147.8232, 61.6067, 26.8]",,019x4139p,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019x4139p&format=geojson,,1.9,ml,",ak019x4139p,",,,,ak,,0.78,"58km ESE of Sutton-Alpine, Alaska",56,",ak,",reviewed,1547950532937,"M 1.9 - 58km ESE of Sutton-Alpine, Alaska",0,earthquake,-540.0,1548647328253,https://earthquake.usgs.gov/earthquakes/eventpage/ak019x4139p
3989,,"[-122.7848333, 38.8353333, 1.17]",,73134306,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73134306&format=geojson,0.005287,0.77,md,",nc73134306,",,68.0,,nc,18.0,0.04,"6km WNW of Cobb, CA",9,",nc,",reviewed,1547950500270,"M 0.8 - 6km WNW of Cobb, CA",0,earthquake,-480.0,1554485703710,https://earthquake.usgs.gov/earthquakes/eventpage/nc73134306
3990,,"[-115.5958333, 33.177, 6.34]",,38197943,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38197943&format=geojson,0.05726,1.31,ml,",ci38197943,",,68.0,,ci,17.0,0.13,"10km NW of Calipatria, CA",26,",ci,",reviewed,1547950446530,"M 1.3 - 10km NW of Calipatria, CA",0,earthquake,-480.0,1548192136006,https://earthquake.usgs.gov/earthquakes/eventpage/ci38197943
3991,,"[-119.0086667, 37.5975, 1.35]",,73134301,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73134301&format=geojson,0.01826,0.15,md,",nc73134301,",,193.0,,nc,9.0,0.03,"5km SSW of Mammoth Lakes, CA",0,",nc,",reviewed,1547950323980,"M 0.2 - 5km SSW of Mammoth Lakes, CA",0,earthquake,-480.0,1548181181282,https://earthquake.usgs.gov/earthquakes/eventpage/nc73134301
3992,,"[179.9944, 51.5631, 103.31]",,2000j9kk,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000j9kk&format=geojson,0.789,3.1,ml,",ak019x4023n,us2000j9kk,",,347.0,,us,,0.32,"51km SSE of Semisopochnoi Island, Alaska",148,",ak,us,",reviewed,1547950238400,"M 3.1 - 51km SSE of Semisopochnoi Island, Alaska",0,earthquake,720.0,1554500462040,https://earthquake.usgs.gov/earthquakes/eventpage/us2000j9kk
3993,,"[-177.6276, -20.3806, 498.27]",,2000jc0i,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000jc0i&format=geojson,4.854,4.3,mb,",us2000jc0i,",,99.0,,us,,0.66,"115km ENE of Ndoi Island, Fiji",284,",us,",reviewed,1547949695560,"M 4.3 - 115km ENE of Ndoi Island, Fiji",0,earthquake,-720.0,1554500464040,https://earthquake.usgs.gov/earthquakes/eventpage/us2000jc0i
3994,,"[-97.8513, 35.258, 5]",3.4,2000j6i3,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000j6i3&format=geojson,0.178,2.3,ml,",us2000j6i3,",2.0,81.0,,us,,0.71,"5km SW of Tuttle, Oklahoma",82,",us,",reviewed,1547948722660,"M 2.3 - 5km SW of Tuttle, Oklahoma",0,earthquake,-360.0,1554500457040,https://earthquake.usgs.gov/earthquakes/eventpage/us2000j6i3
3995,,"[-150.1042, 61.4053, 39.5]",2.0,019x3lhaw,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019x3lhaw&format=geojson,,2.2,ml,",ak019x3lhaw,us2000j6hz,",1.0,,,ak,,0.54,"15km SSW of Big Lake, Alaska",75,",ak,us,",reviewed,1547948569712,"M 2.2 - 15km SSW of Big Lake, Alaska",0,earthquake,-540.0,1554500461040,https://earthquake.usgs.gov/earthquakes/eventpage/ak019x3lhaw
3996,,"[152.1834, -5.6835, 10]",,2000jc0j,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000jc0j&format=geojson,1.482,4.1,mb,",us2000jc0j,",,114.0,,us,,0.56,"147km S of Kokopo, Papua New Guinea",259,",us,",reviewed,1547948486610,"M 4.1 - 147km S of Kokopo, Papua New Guinea",0,earthquake,600.0,1554500464040,https://earthquake.usgs.gov/earthquakes/eventpage/us2000jc0j
3997,,"[-155.2418333, 19.4043333, 2.77]",,70776191,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv70776191&format=geojson,0.0187,2.3,ml,",hv70776191,",,124.0,,hv,27.0,0.06,"2km S of Volcano, Hawaii",81,",hv,",reviewed,1547948432270,"M 2.3 - 2km S of Volcano, Hawaii",0,earthquake,-600.0,1548189273730,https://earthquake.usgs.gov/earthquakes/eventpage/hv70776191
3998,orange,"[-71.3815, -30.0404, 63]",7.8,2000j6hy,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000j6hy&format=geojson,0.173,6.7,mww,",at00pllwap,pt19020000,us2000j6hy,",1048.0,22.0,7.688,us,,1.47,"10km SSW of Coquimbo, Chile",1780,",at,pt,us,",reviewed,1547947972480,"M 6.7 - 10km SSW of Coquimbo, Chile",1,earthquake,-240.0,1594401766061,https://earthquake.usgs.gov/earthquakes/eventpage/us2000j6hy
3999,,"[-157.2302, 66.2765, 4.2]",,019x3f9qy,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019x3f9qy&format=geojson,,0.9,ml,",ak019x3f9qy,",,,,ak,,0.45,"72km SSW of Kobuk, Alaska",12,",ak,",reviewed,1547946831166,"M 0.9 - 72km SSW of Kobuk, Alaska",0,earthquake,-540.0,1549066062018,https://earthquake.usgs.gov/earthquakes/eventpage/ak019x3f9qy
4000,,"[-122.4015, 38.6846667, 9.27]",,73134281,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73134281&format=geojson,0.1262,1.88,md,",nc73134281,",,146.0,,nc,52.0,0.12,"13km NNE of Angwin, CA",54,",nc,",reviewed,1547945949080,"M 1.9 - 13km NNE of Angwin, CA",0,earthquake,-480.0,1552704243352,https://earthquake.usgs.gov/earthquakes/eventpage/nc73134281
4001,,"[-64.4188, 18.2553, 107]",,2019020000,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2019020000&format=geojson,1.4345,3.13,md,",pr2019020000,us2000j6ka,",,349.0,,pr,4.0,0.25,"38km E of Road Town, British Virgin Islands",151,",pr,us,",reviewed,1547945910750,"M 3.1 - 38km E of Road Town, British Virgin Islands",0,earthquake,-240.0,1554500457040,https://earthquake.usgs.gov/earthquakes/eventpage/pr2019020000
4002,,"[-122.802, 38.8175, 2.8]",,73134276,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73134276&format=geojson,0.008627,0.54,md,",nc73134276,",,52.0,,nc,23.0,0.04,"6km NW of The Geysers, CA",4,",nc,",reviewed,1547945805070,"M 0.5 - 6km NW of The Geysers, CA",0,earthquake,-480.0,1557533882891,https://earthquake.usgs.gov/earthquakes/eventpage/nc73134276
4003,,"[-122.7928314, 38.8096657, 3.13]",,73134271,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73134271&format=geojson,0.0169,0.89,md,",nc73134271,",,83.0,,nc,6.0,0.01,"5km NW of The Geysers, CA",12,",nc,",automatic,1547945057340,"M 0.9 - 5km NW of The Geysers, CA",0,earthquake,-480.0,1547946123901,https://earthquake.usgs.gov/earthquakes/eventpage/nc73134271
4004,,"[-153.0198, 59.4729, 100.2]",,019x2z6nh,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019x2z6nh&format=geojson,,1.7,ml,",ak019x2z6nh,",,,,ak,,0.28,"75km WSW of Anchor Point, Alaska",44,",ak,",reviewed,1547944727233,"M 1.7 - 75km WSW of Anchor Point, Alaska",0,earthquake,-540.0,1548647325270,https://earthquake.usgs.gov/earthquakes/eventpage/ak019x2z6nh
4005,,"[-150.1368, 61.4391, 29.9]",,019x2z3gj,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019x2z3gj&format=geojson,,1.3,ml,",ak019x2z3gj,",,,,ak,,0.63,"13km SW of Big Lake, Alaska",26,",ak,",reviewed,1547944686186,"M 1.3 - 13km SW of Big Lake, Alaska",0,earthquake,-540.0,1548647324531,https://earthquake.usgs.gov/earthquakes/eventpage/ak019x2z3gj
4006,,"[103.4517, 31.0452, 10]",,2000jc0m,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000jc0m&format=geojson,5.262,4.1,mb,",us2000jc0m,",,132.0,,us,,0.39,"16km WNW of Guankou, China",259,",us,",reviewed,1547944551450,"M 4.1 - 16km WNW of Guankou, China",0,earthquake,480.0,1554500464040,https://earthquake.usgs.gov/earthquakes/eventpage/us2000jc0m
4007,,"[-177.5108, -19.3735, 564.09]",,2000jc0g,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000jc0g&format=geojson,4.509,4.3,mb,",us2000jc0g,",,91.0,,us,,0.49,"188km NE of Ndoi Island, Fiji",284,",us,",reviewed,1547944218230,"M 4.3 - 188km NE of Ndoi Island, Fiji",0,earthquake,-720.0,1554500464040,https://earthquake.usgs.gov/earthquakes/eventpage/us2000jc0g
4008,,"[-150.0866, 61.4178, 35.9]",,019x2u7nk,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019x2u7nk&format=geojson,,1.3,ml,",ak019x2u7nk,",,,,ak,,0.56,"13km SSW of Big Lake, Alaska",26,",ak,",reviewed,1547943325549,"M 1.3 - 13km SSW of Big Lake, Alaska",0,earthquake,-540.0,1549066056638,https://earthquake.usgs.gov/earthquakes/eventpage/ak019x2u7nk
4009,,"[-116.797, 33.5008333, 4.69]",,38197903,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38197903&format=geojson,0.01184,1.12,ml,",ci38197903,",,45.0,,ci,41.0,0.17,"9km NE of Aguanga, CA",19,",ci,",reviewed,1547943315780,"M 1.1 - 9km NE of Aguanga, CA",0,earthquake,-480.0,1548170520730,https://earthquake.usgs.gov/earthquakes/eventpage/ci38197903
4010,,"[-151.8889, 60.2078, 71.9]",,019x2svmn,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019x2svmn&format=geojson,,1.4,ml,",ak019x2svmn,",,,,ak,,0.47,"36km WSW of Cohoe, Alaska",30,",ak,",reviewed,1547942961663,"M 1.4 - 36km WSW of Cohoe, Alaska",0,earthquake,-600.0,1549066055893,https://earthquake.usgs.gov/earthquakes/eventpage/ak019x2svmn
4011,,"[-153.3026, 60.1617, 141.4]",,019x2r7y8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak019x2r7y8&format=geojson,,1.8,ml,",ak019x2r7y8,",,,,ak,,0.48,"47km SW of Redoubt Volcano, Alaska",50,",ak,",reviewed,1547942490561,"M 1.8 - 47km SW of Redoubt Volcano, Alaska",0,earthquake,-540.0,1549066061287,https://earthquake.usgs.gov/earthquakes/eventpage/ak019x2r7y8
